mx,my,mz
0.92033333,0.76499999,0.00566667
0.94000000,0.77666664,0.01033333
0.94666666,0.77999997,0.01733333
0.96499997,0.78700000,0.02933333
0.97266668,0.79433334,0.03500000
0.98199999,0.79600000,0.04000000
0.99433333,0.80933332,0.05400000
1.00100005,0.81233335,0.05566667
0.99933332,0.82400000,0.06533334
1.00600004,0.83399999,0.06900000
1.01166666,0.84100002,0.08366667
1.01400006,0.84700000,0.09333333
1.01999998,0.85200000,0.09333333
1.01999998,0.85433334,0.10100000
1.02999997,0.85699999,0.11066667
1.03733337,0.86033332,0.11700000
1.04600000,0.86433333,0.12666667
1.05366671,0.86533332,0.13699999
1.06766665,0.87500000,0.16233334
1.08000004,0.87066668,0.18200000
1.08333337,0.87666667,0.19666667
1.09166670,0.88333333,0.21600001
1.10233331,0.88566667,0.24900000
1.10899997,0.88666666,0.25900000
1.11333334,0.88333333,0.27833334
1.11866665,0.89066666,0.29499999
1.12766671,0.88499999,0.31166667
1.12933338,0.88499999,0.32200000
1.12933338,0.88400000,0.32699999
1.12933338,0.88233334,0.33233333
1.13266671,0.88499999,0.34266666
1.13699996,0.88166666,0.35166666
1.13933337,0.87900001,0.36100000
1.14033329,0.87333333,0.37000000
1.14533329,0.86666667,0.38066667
1.14699996,0.86366665,0.40000001
1.14766669,0.86366665,0.40700001
1.15033329,0.85600001,0.42866668
1.15499997,0.84600002,0.43399999
1.15666664,0.84200001,0.43900001
1.15666664,0.83566666,0.45233333
1.15999997,0.82733333,0.46366668
1.16333330,0.82999998,0.47000000
1.15900004,0.81999999,0.47600001
1.16733336,0.81400001,0.48566666
1.16333330,0.80033332,0.49866667
1.16566670,0.79533333,0.50566667
1.16400003,0.78866667,0.51599997
1.16566670,0.77833331,0.52499998
1.16666663,0.76999998,0.53366667
1.16400003,0.76066667,0.54433334
1.16066670,0.75533330,0.54933333
1.15999997,0.74866664,0.56033331
1.15333331,0.74199998,0.57066667
1.14933336,0.72733331,0.57499999
1.14533329,0.72333336,0.58833331
1.14533329,0.71499997,0.59766668
1.13933337,0.70833331,0.60733336
1.13266671,0.70499998,0.61933333
1.12699997,0.69700003,0.62166667
1.12433338,0.69599998,0.61933333
1.12533331,0.69599998,0.61933333
1.12866664,0.69433331,0.61933333
1.13266671,0.69766665,0.61166668
1.13533330,0.68866664,0.61366665
1.14033329,0.68866664,0.60500002
1.14699996,0.68866664,0.60500002
1.15400004,0.68366665,0.59866667
1.15333331,0.68199998,0.59866667
1.15333331,0.68033332,0.59233332
1.15666664,0.68266666,0.58899999
1.15999997,0.67500001,0.59333330
1.15900004,0.67000002,0.59533334
1.16066670,0.66500002,0.58833331
1.16233337,0.66166669,0.58999997
1.15999997,0.65499997,0.59333330
1.15900004,0.64999998,0.59233332
1.15566671,0.63599998,0.59600002
1.15733337,0.63599998,0.60200000
1.15400004,0.62699997,0.60033333
1.14600003,0.62166667,0.61266667
1.13766670,0.61733335,0.61600000
1.13699996,0.61233336,0.62333333
1.12600005,0.60900003,0.62500000
1.11933339,0.61000001,0.63200003
1.11533332,0.60399997,0.63999999
1.10399997,0.60066664,0.64333332
1.10500002,0.59566665,0.65266669
1.09733331,0.58700001,0.65266669
1.09233332,0.57933331,0.65566665
1.09166670,0.57933331,0.65566665
1.09166670,0.57266665,0.65833336
1.08733332,0.56400001,0.65733331
1.08066666,0.56066668,0.65833336
1.08166671,0.55233335,0.66000003
1.07099998,0.55066669,0.66600001
1.05200005,0.54733336,0.67400002
1.03333330,0.53866667,0.67733335
1.01666665,0.53266668,0.69066668
0.99933332,0.51933336,0.69400001
0.96733332,0.50566667,0.69566667
0.95233333,0.50000000,0.69666666
0.92866665,0.49166667,0.69499999
0.89833331,0.47600001,0.69333333
0.88666666,0.46766666,0.68766665
0.87233335,0.46533334,0.68766665
0.86733335,0.46433333,0.68699998
0.86666667,0.46433333,0.68866664
0.86199999,0.46533334,0.68599999
0.86333334,0.47033334,0.69166666
0.86333334,0.47033334,0.69233334
0.85699999,0.47366667,0.69166666
0.85266668,0.47533333,0.69233334
0.84933335,0.48033333,0.69499999
0.84766668,0.48266667,0.70033336
0.83533335,0.49066666,0.70266664
0.83099997,0.49166667,0.70266664
0.82766664,0.49900001,0.70366669
0.82166666,0.50000000,0.70733333
0.81900001,0.50400001,0.70200002
0.81066668,0.51233333,0.71066666
0.80733335,0.51333332,0.71066666
0.80066669,0.51233333,0.70833331
0.79166669,0.51533335,0.70533335
0.78433335,0.51599997,0.70266664
0.77700001,0.51166666,0.70099998
0.76599997,0.51333332,0.70033336
0.75700003,0.52100003,0.69866669
0.75533330,0.52033335,0.70033336
0.74833333,0.52100003,0.69866669
0.74733335,0.53033334,0.69666666
0.74233335,0.53100002,0.69933331
0.74400002,0.53533334,0.69666666
0.74000001,0.53766668,0.70200002
0.73333335,0.54233330,0.69666666
0.72666669,0.54500002,0.70266664
0.72500002,0.54333335,0.70033336
0.72566664,0.55000001,0.69866669
0.71533334,0.55233335,0.69233334
0.71100003,0.55900002,0.69400001
0.71200001,0.56166667,0.69400001
0.71033335,0.56400001,0.69566667
0.70599997,0.56166667,0.69499999
0.70433331,0.56933331,0.69233334
0.70033336,0.57099998,0.69166666
0.70033336,0.57866669,0.69233334
0.68433332,0.57766664,0.69066668
0.67833334,0.58433336,0.68000001
0.66333336,0.58866668,0.67833334
0.65833336,0.58866668,0.67400002
0.64099997,0.59433335,0.66233331
0.63266665,0.60333335,0.66000003
0.61933333,0.60566664,0.64766669
0.61066669,0.60900003,0.63999999
0.60000002,0.61000001,0.63200003
0.59233332,0.61500001,0.62500000
0.58233333,0.61066669,0.61433333
0.58166665,0.60833335,0.60833335
0.57033336,0.60666668,0.59399998
0.56366664,0.60733336,0.59066665
0.55866665,0.59733331,0.58433336
0.55766666,0.60000002,0.57866669
0.55433333,0.59899998,0.57333332
0.55100000,0.60066664,0.57233334
0.55199999,0.59566665,0.56766665
0.54433334,0.60066664,0.56699997
0.54766667,0.60333335,0.56533331
0.54433334,0.60066664,0.56033331
0.54200000,0.60233331,0.55900002
0.53566664,0.60000002,0.55666667
0.53833336,0.60233331,0.55400002
0.53833336,0.59833336,0.54699999
0.53333336,0.60233331,0.54933333
0.53666669,0.60399997,0.54533333
0.53399998,0.60233331,0.54600000
0.53066665,0.60666668,0.54366666
0.52899998,0.60833335,0.54000002
0.52566665,0.60900003,0.53666669
0.52899998,0.61166668,0.53500003
0.52233332,0.61566669,0.53733331
0.52899998,0.62066668,0.54066664
0.52899998,0.61900002,0.54600000
0.53166670,0.61666667,0.54433334
0.52899998,0.61500001,0.54366666
0.53066665,0.62066668,0.54600000
0.53066665,0.61833334,0.55033332
0.53233331,0.62699997,0.54533333
0.52399999,0.62699997,0.53666669
0.52399999,0.63033330,0.53200001
0.51333332,0.63766664,0.51433331
0.50999999,0.64033335,0.50233334
0.50566667,0.64266664,0.49066666
0.50033331,0.64700001,0.47766668
0.49866667,0.64700001,0.46100000
0.49366668,0.65399998,0.44999999
0.48699999,0.65399998,0.43733335
0.48600000,0.65833336,0.42433333
0.47933334,0.65733331,0.40599999
0.47766668,0.66233331,0.40066665
0.48100001,0.66500002,0.38499999
0.47866666,0.66666669,0.36500001
0.47933334,0.66233331,0.34500000
0.47933334,0.66233331,0.33000001
0.47866666,0.66166669,0.31733334
0.48033333,0.65666670,0.30599999
0.47933334,0.65499997,0.30000001
0.48199999,0.65066665,0.29400000
0.48199999,0.64600003,0.28533334
0.48600000,0.63866669,0.27900001
0.48433334,0.63700002,0.27666667
0.49100000,0.63599998,0.27666667
0.48699999,0.63033330,0.26333332
0.48766667,0.62699997,0.25600001
0.49766666,0.62000000,0.24666667
0.49200001,0.61400002,0.23600000
0.49866667,0.61066669,0.22266667
0.51400000,0.60833335,0.20900001
0.51566666,0.60000002,0.19666667
0.51666665,0.59433335,0.18600000
0.52499998,0.58866668,0.17733334
0.53733331,0.58366668,0.16533333
0.54266667,0.57200003,0.15733333
0.54866666,0.56933331,0.14933333
0.55599999,0.56166667,0.15099999
0.56433332,0.55500001,0.14233333
0.57099998,0.54900002,0.13600001
0.57566667,0.54500002,0.13833334
0.58166665,0.53433335,0.13200000
0.58999997,0.53266668,0.12400000
0.59666669,0.52700001,0.11866666
0.60500002,0.52600002,0.11600000
0.61600000,0.51700002,0.11000000
0.62599999,0.51433331,0.10500000
0.62933332,0.50666666,0.10100000
0.64200002,0.50666666,0.09766667
0.65733331,0.49566665,0.09233333
0.66900003,0.49066666,0.09333333
0.67666668,0.48433334,0.09066667
0.68366665,0.48100001,0.08533333
0.70433331,0.47866666,0.08200000
0.71033335,0.47200000,0.07766667
0.72333336,0.47033334,0.07766667
0.72500002,0.46533334,0.07866666
0.73666668,0.46266666,0.08266667
0.73400003,0.46366668,0.07666667
0.74000001,0.46033335,0.08366667
0.73833334,0.46266666,0.08433333
0.73833334,0.46433333,0.08266667
0.73833334,0.46599999,0.08366667
0.72833335,0.46599999,0.08366667
0.72500002,0.46933332,0.09000000
0.71366668,0.46700001,0.09700000
0.70266664,0.47099999,0.10033333
0.69266665,0.47366667,0.10900000
0.67666668,0.47200000,0.12233333
0.66166669,0.47266668,0.13699999
0.65066665,0.47033334,0.14933333
0.63533336,0.47533333,0.16433333
0.61933333,0.47933334,0.18700001
0.60666668,0.47766668,0.20833333
0.59333330,0.48266667,0.23066667
0.58666664,0.49000001,0.25600001
0.57900000,0.49166667,0.27366668
0.56933331,0.49166667,0.29333332
0.56699997,0.49666667,0.30599999
0.56099999,0.49733335,0.32533333
0.55933332,0.50166667,0.34900001
0.55533332,0.50833333,0.37099999
0.55433333,0.51166666,0.39266667
0.55699998,0.51933336,0.41566667
0.56433332,0.52433336,0.44833332
0.56699997,0.53266668,0.47000000
0.56866664,0.54233330,0.49266666
0.57433331,0.54733336,0.51200002
0.58233333,0.56166667,0.53033334
0.59233332,0.56400001,0.54366666
0.59833336,0.57266665,0.55900002
0.60566664,0.57433331,0.57499999
0.62266666,0.58600003,0.59600002
0.63866669,0.59366667,0.61866665
0.65333331,0.60333335,0.63433331
0.67166668,0.60733336,0.64866668
0.69766665,0.62533331,0.66866666
0.71433336,0.63599998,0.68000001
0.73500001,0.64033335,0.68766665
0.75533330,0.65666670,0.70033336
0.77266669,0.66900003,0.70200002
0.77933335,0.67066669,0.70433331
0.79566669,0.67866665,0.71166664
0.81999999,0.68033332,0.71399999
0.83366668,0.67933333,0.71700001
0.85200000,0.68699998,0.71933335
0.86500001,0.68433332,0.71866667
0.88999999,0.69033331,0.72100002
0.90200001,0.68933332,0.72100002
0.91700000,0.69366664,0.71866667
0.93033332,0.70099998,0.71766669
0.94833332,0.70899999,0.70999998
0.95999998,0.71566665,0.70433331
0.97433335,0.71566665,0.70733333
0.98433334,0.72333336,0.70099998
0.99933332,0.72566664,0.69233334
1.00999999,0.72899997,0.68599999
1.01999998,0.72899997,0.68533331
1.02833331,0.73100001,0.68199998
1.04933333,0.73766667,0.66700000
1.06266665,0.73533332,0.66533333
1.07266665,0.73866665,0.65833336
1.08333337,0.73699999,0.64700001
1.09500003,0.73933333,0.63700002
1.10233331,0.73600000,0.63366669
1.11600006,0.73199999,0.62566668
1.12199998,0.73199999,0.61699998
1.13699996,0.73366666,0.60566664
1.14100003,0.73100001,0.59766668
1.15233338,0.72899997,0.58733332
1.16566670,0.73533332,0.57066667
1.17333329,0.73866665,0.55400002
1.18499994,0.74533331,0.54000002
1.19099998,0.74266666,0.51733333
1.19933331,0.74433333,0.49599999
1.20866668,0.73600000,0.48033333
1.21599996,0.73699999,0.46566668
1.21599996,0.73600000,0.45866665
1.22200000,0.73433334,0.44200000
1.22399998,0.72899997,0.43166667
1.23066664,0.72899997,0.42066666
1.23399997,0.72833335,0.40700001
1.23500001,0.72833335,0.38166666
1.24000001,0.72666669,0.36399999
1.23566663,0.72833335,0.34266666
1.23500001,0.72899997,0.31733334
1.23166668,0.72666669,0.28533334
1.22399998,0.72566664,0.26499999
1.22099996,0.71833330,0.23700000
1.21433330,0.71666664,0.22499999
1.20599997,0.70566666,0.19666667
1.20033336,0.69866669,0.17900001
1.19533336,0.69099998,0.16866666
1.18866670,0.69099998,0.16000000
1.18066669,0.68099999,0.14933333
1.18166661,0.67400002,0.14766666
1.18233335,0.67233336,0.15033333
1.18066669,0.66500002,0.14766666
1.18233335,0.65399998,0.14333333
1.18166661,0.65233332,0.14000000
1.17900002,0.65066665,0.14333333
1.18333328,0.64999998,0.14333333
1.17666662,0.64266664,0.13533333
1.17566669,0.64366668,0.13433333
1.17333329,0.63933331,0.13266666
1.16833329,0.63533336,0.12566666
1.16166663,0.63599998,0.11533333
1.15400004,0.63099998,0.10900000
1.15499997,0.63099998,0.10566667
1.14266670,0.62166667,0.10033333
1.13600004,0.61400002,0.09333333
1.13366663,0.60166669,0.09166667
1.12433338,0.59266669,0.08733334
1.11699998,0.57266665,0.08666667
1.11533332,0.56166667,0.08433333
1.10833335,0.54833335,0.08666667
1.10333335,0.53700000,0.08733334
1.09666669,0.52200001,0.09066667
1.09566665,0.51233333,0.09866667
1.09399998,0.50833333,0.10033333
1.09233332,0.49500000,0.10500000
1.09233332,0.49399999,0.10566667
1.09000003,0.49066666,0.10733333
1.08899999,0.49000001,0.10566667
1.08899999,0.48433334,0.10833333
1.08566666,0.48366666,0.11600000
1.08833337,0.47533333,0.12500000
1.09233332,0.47099999,0.13100000
1.09666669,0.46200001,0.14500000
1.09833336,0.45500001,0.15566666
1.09566665,0.44900000,0.15566666
1.09733331,0.43666667,0.17333333
1.08833337,0.43200001,0.17833333
1.08733332,0.42533332,0.18700001
1.08566666,0.41933334,0.18866667
1.08399999,0.41366667,0.19499999
1.07700002,0.41200000,0.19733334
1.07266665,0.40400001,0.20266667
1.06766665,0.39833334,0.20999999
1.06433332,0.39399999,0.21400000
1.06099999,0.38400000,0.21866667
1.05433333,0.38233334,0.22266667
1.04933333,0.38000000,0.22833334
1.03900003,0.36533332,0.22733334
1.03333330,0.36533332,0.23366667
1.03400004,0.36700001,0.23433334
1.02666664,0.36600000,0.22499999
1.02566671,0.36933333,0.21766667
1.02499998,0.37200001,0.21066667
1.02233338,0.37200001,0.20433334
1.01499999,0.37266666,0.19933334
1.01333332,0.37099999,0.19233334
1.00833333,0.37099999,0.18866667
1.00600004,0.37033334,0.19333333
1.00733328,0.36766666,0.19499999
1.00266671,0.36199999,0.20100001
1.00100005,0.36433333,0.20433334
1.00366664,0.36033332,0.20833333
